Episode No.,Avg Reward,Team Reward,Agent 0 reached goal,Agent 1 reached goal,Goals reached,Agent 0 X,Agent 0 Y,Agent 1 X,Agent 1 Y,Agent 0 Goal X,Agent 0 Goal Y,Agent 1 Goal X,Agent 1 Goal Y
950,-51,-40,1,0,1,5,6,6,6,4,9,5,9
960,-22.68,-40,1,0,1,9,5,7,3,4,9,5,9
970,-67,-40,0,0,0,7,6,0,2,4,9,5,9
980,-61.8,-40,1,0,1,4,2,7,0,4,9,5,9
990,-44.53,-40,0,1,1,5,3,8,8,4,9,5,9
1000,-62.6,-40,0,0,0,0,2,1,7,4,9,5,9
1010,-31.93,-40,1,0,1,5,8,0,6,4,9,5,9
1020,-18.73,-40,1,0,1,0,8,8,2,4,9,5,9
1030,-15.85,-40,1,0,1,2,9,9,9,4,9,5,9
1040,-49.78,-40,1,0,1,4,2,0,4,4,9,5,9
1050,-35.28,-40,1,0,1,7,3,6,4,4,9,5,9
1060,-44.58,-40,1,0,1,7,0,3,6,4,9,5,9
1070,-32.25,-40,1,0,1,6,0,6,6,4,9,5,9
1080,-69.22,-40,1,0,1,3,7,2,4,4,9,5,9
1090,-39.78,-40,1,0,1,6,6,9,3,4,9,5,9
1100,-22.68,-40,1,0,1,6,6,3,4,4,9,5,9
200,-68.02,32.3,1,1,2,7,6,3,3,4,9,5,9
1120,-23.83,-40,1,0,1,1,7,7,3,4,9,5,9
1130,-16.9,-40,1,0,1,5,6,1,8,4,9,5,9
1140,-59.25,-40,1,0,1,3,1,1,0,4,9,5,9
1150,-35.68,-40,1,0,1,7,7,6,8,4,9,5,9
1160,-44.15,-40,1,0,1,4,0,1,5,4,9,5,9
1170,-21.1,-40,1,0,1,2,8,9,3,4,9,5,9
1180,-176.18,-40,1,0,1,2,1,1,6,4,9,5,9
1190,-87.22,-40,0,1,1,4,1,5,7,4,9,5,9
1200,-15.6,-40,1,0,1,3,8,4,3,4,9,5,9
1210,-114.17,-40,1,0,1,6,3,7,1,4,9,5,9
1220,-21.48,-40,1,0,1,9,6,3,2,4,9,5,9
1230,-23.35,-40,1,0,1,4,3,6,6,4,9,5,9
1240,-22.78,-40,1,0,1,6,5,4,8,4,9,5,9
1250,-31.33,-40,1,0,1,9,6,1,7,4,9,5,9
4080,0.38,32.3,1,1,2,3,5,5,9,4,9,5,9
1270,-16.53,-40,1,0,1,7,9,7,8,4,9,5,9
1280,-76.13,-40,0,0,0,2,7,0,7,4,9,5,9
1290,-18.85,-40,1,0,1,5,7,3,5,4,9,5,9
1300,-53.35,-40,1,0,1,0,2,1,2,4,9,5,9
1310,-70.63,-40,0,0,0,2,0,3,8,4,9,5,9
1320,-19.68,-40,1,0,1,7,6,9,2,4,9,5,9
1330,-38.6,-40,1,0,1,4,2,2,6,4,9,5,9
1380,-12.13,30.7,1,1,2,8,8,4,8,4,9,5,9
1350,-79.27,-40,1,0,1,7,1,5,3,4,9,5,9
1360,-26.13,-40,1,0,1,3,5,5,1,4,9,5,9
1370,-65.55,-40,1,0,1,3,6,1,3,4,9,5,9
1530,-27.4,30.1,1,1,2,4,8,2,9,4,9,5,9
1390,-45.5,-40,1,0,1,1,6,2,5,4,9,5,9
1400,-18.1,-40,1,0,1,7,9,6,4,4,9,5,9
