Episode No.,Avg Reward,Team Reward,Agent 0 reached goal,Agent 1 reached goal,Goals reached,Agent 0 X,Agent 0 Y,Agent 1 X,Agent 1 Y,Agent 0 Goal X,Agent 0 Goal Y,Agent 1 Goal X,Agent 1 Goal Y
0,-54.55,-40.00,1,0,1,0,4,1,1,4,9,5,9
10,-34.00,-40.00,0,1,1,0,3,7,8,4,9,5,9
20,-48.20,10.30,1,1,2,2,6,3,0,4,9,5,9
30,-70.38,-40.00,0,0,0,6,4,5,3,4,9,5,9
40,-26.08,-40.00,1,0,1,6,9,1,3,4,9,5,9
50,-28.03,-40.00,0,1,1,8,4,9,8,4,9,5,9
60,-28.58,-40.00,0,1,1,0,3,9,9,4,9,5,9
70,-10.30,32.20,1,1,2,2,6,6,1,4,9,5,9
80,-30.93,-40.00,0,1,1,8,2,7,7,4,9,5,9
90,-3.48,36.70,1,1,2,4,9,1,6,4,9,5,9
100,-43.50,-40.00,1,0,1,6,2,1,5,4,9,5,9
110,-66.07,-40.00,0,0,0,9,3,2,2,4,9,5,9
120,-29.23,-40.00,1,0,1,6,3,3,5,4,9,5,9
130,-32.37,-40.00,0,1,1,4,2,4,6,4,9,5,9
140,-55.25,-40.00,0,0,0,0,6,9,6,4,9,5,9
150,-50.75,-40.00,1,0,1,8,6,9,6,4,9,5,9
160,-65.78,-40.00,0,0,0,3,7,5,2,4,9,5,9
170,-66.78,-40.00,0,0,0,1,4,1,1,4,9,5,9
180,-23.43,-40.00,1,0,1,4,7,9,1,4,9,5,9
190,-57.98,-40.00,0,0,0,9,4,1,0,4,9,5,9
200,-59.70,-40.00,1,0,1,2,2,3,8,4,9,5,9
210,-32.60,-40.00,1,0,1,5,6,2,4,4,9,5,9
220,-67.70,-40.00,0,0,0,6,0,2,1,4,9,5,9
230,-9.60,33.30,1,1,2,9,9,6,9,4,9,5,9
240,-62.33,-40.00,0,0,0,8,1,1,0,4,9,5,9
250,-46.73,-40.00,0,1,1,9,1,9,9,4,9,5,9
260,-19.60,-40.00,0,1,1,0,4,5,9,4,9,5,9
270,-49.30,-40.00,0,1,1,9,6,8,9,4,9,5,9
280,-34.28,-40.00,0,1,1,0,1,6,4,4,9,5,9
290,7.70,46.90,1,1,2,2,7,5,8,4,9,5,9
300,-19.80,23.80,1,1,2,2,7,5,0,4,9,5,9
310,-65.23,-40.00,0,0,0,5,6,7,4,4,9,5,9
320,-56.43,-40.00,0,0,0,9,3,4,4,4,9,5,9
330,-65.58,-40.00,0,0,0,0,1,8,4,4,9,5,9
340,-25.70,-40.00,0,1,1,9,9,3,5,4,9,5,9
350,-55.70,-40.00,0,0,0,6,0,0,3,4,9,5,9
360,-58.85,-40.00,0,0,0,0,5,0,8,4,9,5,9
370,-71.53,-40.00,0,0,0,1,4,4,5,4,9,5,9
380,-67.70,13.50,1,1,2,7,2,1,1,4,9,5,9
390,-23.00,-40.00,0,1,1,3,1,0,8,4,9,5,9
400,-60.83,-40.00,0,0,0,8,5,2,4,4,9,5,9
410,-64.18,-40.00,0,0,0,7,3,5,3,4,9,5,9
420,-74.45,-40.00,0,0,0,4,2,2,3,4,9,5,9
430,-29.40,28.90,1,1,2,2,4,9,2,4,9,5,9
440,-10.65,19.90,1,1,2,7,5,8,8,4,9,5,9
450,-53.87,-40.00,0,1,1,1,7,2,4,4,9,5,9
460,-35.50,-40.00,0,1,1,3,0,7,6,4,9,5,9
470,-28.75,11.40,1,1,2,4,4,9,2,4,9,5,9
480,-34.10,-40.00,1,0,1,8,5,7,3,4,9,5,9
490,-46.88,-40.00,0,0,0,9,0,1,3,4,9,5,9
500,-46.97,-40.00,0,1,1,0,6,8,7,4,9,5,9
510,-29.05,42.50,1,1,2,6,0,8,6,4,9,5,9
520,-50.98,-40.00,0,0,0,1,2,4,4,4,9,5,9
530,-28.10,-40.00,0,1,1,5,5,8,7,4,9,5,9
540,-37.40,-40.00,0,1,1,7,6,4,9,4,9,5,9
550,-24.68,-40.00,0,1,1,8,5,8,9,4,9,5,9
560,-45.80,-40.00,0,0,0,3,0,8,5,4,9,5,9
570,-73.22,-40.00,0,1,1,8,7,0,3,4,9,5,9
580,-57.58,-40.00,0,0,0,9,5,4,1,4,9,5,9
590,-52.75,-40.00,0,0,0,1,5,7,1,4,9,5,9
600,-25.63,20.20,1,1,2,7,0,7,7,4,9,5,9
610,-23.73,-40.00,0,1,1,9,1,2,4,4,9,5,9
620,-40.30,-40.00,0,1,1,8,2,9,8,4,9,5,9
630,-31.80,-40.00,1,0,1,8,0,4,3,4,9,5,9
640,-11.08,29.60,1,1,2,6,7,4,5,4,9,5,9
650,-22.70,-40.00,0,1,1,4,6,4,8,4,9,5,9
660,-26.18,-40.00,0,1,1,0,6,5,5,4,9,5,9
670,-58.73,-40.00,0,0,0,1,3,1,6,4,9,5,9
680,-52.78,-40.00,0,0,0,9,1,3,3,4,9,5,9
690,-78.92,-40.00,0,0,0,2,5,8,6,4,9,5,9
700,-58.75,-40.00,0,0,0,3,0,8,0,4,9,5,9
710,-50.95,-40.00,0,0,0,0,0,2,5,4,9,5,9
720,-48.23,-40.00,0,0,0,0,3,1,7,4,9,5,9
730,-49.53,-40.00,0,0,0,2,3,5,1,4,9,5,9
740,-47.15,-40.00,0,0,0,4,3,0,0,4,9,5,9
750,-42.68,-40.00,0,1,1,9,4,9,7,4,9,5,9
760,-47.23,-40.00,0,0,0,6,6,0,9,4,9,5,9
770,-42.55,-40.00,0,0,0,2,3,9,6,4,9,5,9
780,-4.22,36.90,1,1,2,0,7,8,8,4,9,5,9
790,-45.83,-40.00,1,0,1,1,7,6,1,4,9,5,9
800,-18.65,-40.00,1,0,1,4,5,5,7,4,9,5,9
810,-83.37,-40.00,1,0,1,0,1,7,6,4,9,5,9
820,-33.18,-40.00,1,0,1,4,2,3,0,4,9,5,9
830,-36.37,-40.00,0,1,1,8,5,5,9,4,9,5,9
840,-50.60,-40.00,0,0,0,7,9,8,2,4,9,5,9
850,-29.00,-40.00,1,0,1,4,4,0,1,4,9,5,9
860,-27.40,13.80,1,1,2,0,7,5,7,4,9,5,9
870,-38.83,-40.00,0,1,1,3,3,6,3,4,9,5,9
880,-38.55,-40.00,0,1,1,0,6,9,6,4,9,5,9
890,-116.52,-40.00,0,0,0,1,1,8,5,4,9,5,9
900,-52.00,-40.00,1,0,1,3,7,1,2,4,9,5,9
910,-21.90,-40.00,0,1,1,2,7,4,9,4,9,5,9
920,-51.08,-40.00,0,0,0,2,2,4,5,4,9,5,9
930,-15.40,-40.00,1,0,1,4,6,3,0,4,9,5,9
940,-24.98,-40.00,1,0,1,3,4,6,3,4,9,5,9
950,-45.05,-40.00,0,0,0,5,4,4,6,4,9,5,9
960,-65.80,-40.00,0,1,1,1,0,3,7,4,9,5,9
